型号,产品名称,产品类型,系列,产品组件,开箱配件/装箱清单,组件抽取状态,组件来源关键词,配件抽取状态,配件来源关键词,来源PDF,PDF链接,型号重复次数,组件来源片段,配件来源片段
720ECM,710ECM 720ECM 730ECM说明书云钻系列软水机,软水机,云钻系列,"软水
市政进水
盐阀
阀体
吸盐阀
树脂罐
树脂
30","及安装 F9OWATER 二、开箱及安装 1．加装阀门 在软水机进水前的供水管道上加装阀门，方便在必要的时候切断通向软水机的水源
关闭通向热水器的电源和气源
打开房屋最高和最低的两个水龙头，将管路中剩余的水排掉，然后关上水龙头
打开包装箱，并去除软水机内部的所有包装材料
将标配旁通阀安装在机器上。注意出水口配有流量轮和感应器。卡接式管件的安装非常方便，只調 要将管接头插到位，然后用卡夹卡紧，管件就不会脱落
将软水机移动到安装地点，放置在一个光滑的水平面上，必要时可在下面垫一块 2cm 的木板（木板 大小须略大于盐箱底面）。如有需要，可在木板下方加垫支撑物来达到平稳
将进出水管与房屋管路相连接。 • 注意将未经处理进水（自来水）连接在标有 “Inlet”的一端，将出水（软水）管与标有 “Outlet” 的一端相连接。 • 如果未使用标配旁通阀...
连接阀头排水软管（见图 3）： • 将标配（内径为7/16""）的排水软管插入阀头上的排水口，并用卡子将其固定。 • 另一端接到地漏（注意留有 4cm 的空隙以防止虹吸）。 • 妥善...
系统单位（System units）：标准情况下请选择公制（Metric）.如 果已经有一个黑点在所需系统单位旁边（见图4），则直接进 入步骤2。否则，按向下键（V）或者向上键（A...
按选择键（◎）
进水硬度（Hardness） ，按向上键（A）或者向下键（V）来设 置水的硬度值（见图6）。 注意：不要通过增加硬度设置值来补偿水中的铁离子含量。在以 下步骤中，可设置铁离子含量...
盐位（Salt level）按向上键（A）或者向下键（V）来设置盐 位（见图7）。盐位应该达到在盐罐的盐水井贴膜上能够看见 的最低数字（仅适用于710ECM）
按选择键（◎）。 9.铁离子含量（Iron level）按向上键（A）或者向下键（V）来 设置水的铁离子水平值（见图8）。转换系数为：每1个PPM 的铁离子为3格令
按选择（◎）键，则屏幕将显示“设置完成！”（Setup complete）（见图 9）
如果您在该点想要返回并变更数据，则按向下键（V）滚动 到重新设置（Redo setup），然后再按选择键（◎）两次，重 复操作这六个“向导”屏幕
如果不需要做出变更，则确认有一个黑点在运行软水机 （Run softener）旁边（见图9），按选择（◎）键，软水机开始正常 运行。 5 F9OWATE System units...",found,结构示意图,found,开箱,710ECM 720ECM 730ECM说明书云钻系列软水机.pdf,../710ECM 720ECM 730ECM说明书云钻系列软水机.pdf,1,"软水 市政进水 盐阀 阀体 吸盐阀 树脂罐 树脂 30 维护知识 尺寸及规格 86 Four 431 - 辭 亻 308 仁 F9OWATER 431 308 EN 86 Four N OUT口 A Jourg A 型号 710ECM 720ECM 730ECM 标称树脂箱尺寸 直径9""x14"" 直径8""×19"" 直径8""x25"" 主要成分或部件 型号 进出水 控制阀 PE内衬玻璃钢桶 材质玻璃缸 （内置PE内胆） 710ECM 材质：ABS 1套 720ECM 材质：ABS 1套 730ECM 材质：ABS 1套",及安装 F9OWATER 二、开箱及安装 1．加装阀门 在软水机进水前的供水管道上加装阀门，方便在必要的时候切断通向软水机的水源。 2. 关闭通向热水器的电源和气源。 3. 打开房屋最高和最低的两个水龙头，将管路中剩余的水排掉，然后关上水龙头。 4. 打开包装箱，并去除软水机内部的所有包装材料。 5. 将标配旁通阀安装在机器上。注意出水口配有流量轮和感应器。卡接式管件的安装非常方便，只調 要将管接头插到位，然后用卡夹卡紧，管件就不会脱落。 6. 将软水机移动到安装地点，放置在一个光滑的水平面上，必要时可在下面垫一块
730ECM,710ECM 720ECM 730ECM说明书云钻系列软水机,软水机,云钻系列,"软水
市政进水
盐阀
阀体
吸盐阀
树脂罐
树脂
30","及安装 F9OWATER 二、开箱及安装 1．加装阀门 在软水机进水前的供水管道上加装阀门，方便在必要的时候切断通向软水机的水源
关闭通向热水器的电源和气源
打开房屋最高和最低的两个水龙头，将管路中剩余的水排掉，然后关上水龙头
打开包装箱，并去除软水机内部的所有包装材料
将标配旁通阀安装在机器上。注意出水口配有流量轮和感应器。卡接式管件的安装非常方便，只調 要将管接头插到位，然后用卡夹卡紧，管件就不会脱落
将软水机移动到安装地点，放置在一个光滑的水平面上，必要时可在下面垫一块 2cm 的木板（木板 大小须略大于盐箱底面）。如有需要，可在木板下方加垫支撑物来达到平稳
将进出水管与房屋管路相连接。 • 注意将未经处理进水（自来水）连接在标有 “Inlet”的一端，将出水（软水）管与标有 “Outlet” 的一端相连接。 • 如果未使用标配旁通阀...
连接阀头排水软管（见图 3）： • 将标配（内径为7/16""）的排水软管插入阀头上的排水口，并用卡子将其固定。 • 另一端接到地漏（注意留有 4cm 的空隙以防止虹吸）。 • 妥善...
系统单位（System units）：标准情况下请选择公制（Metric）.如 果已经有一个黑点在所需系统单位旁边（见图4），则直接进 入步骤2。否则，按向下键（V）或者向上键（A...
按选择键（◎）
进水硬度（Hardness） ，按向上键（A）或者向下键（V）来设 置水的硬度值（见图6）。 注意：不要通过增加硬度设置值来补偿水中的铁离子含量。在以 下步骤中，可设置铁离子含量...
盐位（Salt level）按向上键（A）或者向下键（V）来设置盐 位（见图7）。盐位应该达到在盐罐的盐水井贴膜上能够看见 的最低数字（仅适用于710ECM）
按选择键（◎）。 9.铁离子含量（Iron level）按向上键（A）或者向下键（V）来 设置水的铁离子水平值（见图8）。转换系数为：每1个PPM 的铁离子为3格令
按选择（◎）键，则屏幕将显示“设置完成！”（Setup complete）（见图 9）
如果您在该点想要返回并变更数据，则按向下键（V）滚动 到重新设置（Redo setup），然后再按选择键（◎）两次，重 复操作这六个“向导”屏幕
如果不需要做出变更，则确认有一个黑点在运行软水机 （Run softener）旁边（见图9），按选择（◎）键，软水机开始正常 运行。 5 F9OWATE System units...",found,结构示意图,found,开箱,710ECM 720ECM 730ECM说明书云钻系列软水机.pdf,../710ECM 720ECM 730ECM说明书云钻系列软水机.pdf,1,"软水 市政进水 盐阀 阀体 吸盐阀 树脂罐 树脂 30 维护知识 尺寸及规格 86 Four 431 - 辭 亻 308 仁 F9OWATER 431 308 EN 86 Four N OUT口 A Jourg A 型号 710ECM 720ECM 730ECM 标称树脂箱尺寸 直径9""x14"" 直径8""×19"" 直径8""x25"" 主要成分或部件 型号 进出水 控制阀 PE内衬玻璃钢桶 材质玻璃缸 （内置PE内胆） 710ECM 材质：ABS 1套 720ECM 材质：ABS 1套 730ECM 材质：ABS 1套",及安装 F9OWATER 二、开箱及安装 1．加装阀门 在软水机进水前的供水管道上加装阀门，方便在必要的时候切断通向软水机的水源。 2. 关闭通向热水器的电源和气源。 3. 打开房屋最高和最低的两个水龙头，将管路中剩余的水排掉，然后关上水龙头。 4. 打开包装箱，并去除软水机内部的所有包装材料。 5. 将标配旁通阀安装在机器上。注意出水口配有流量轮和感应器。卡接式管件的安装非常方便，只調 要将管接头插到位，然后用卡夹卡紧，管件就不会脱落。 6. 将软水机移动到安装地点，放置在一个光滑的水平面上，必要时可在下面垫一块
710WHF,710WHF720WHF730WHF说明书云钻系列净水机,复合/中央净水,云钻系列,"市政自来水—
不锈钢过滤网组件—
颗粒活性炭＋石英砂（自动反冲）—
净化水
出水
市政进水
阀体
不锈钢过滤网組件
—中心管
颗粒活性炭
一石英砂
布水器
产品介绍
主要成分或部件
型号
丙烯腈-丁二烯
苯乙烯共聚物
（ABS）进出水
控制阀
710WHF
1套
720WHF
730WHF
不锈钢过
滤网组件
聚乙烯（PE）
孔径：40目
内衬玻璃钢桶
直径：229mm
高度：356mm",未在可识别正文中找到明确开箱配件或装箱清单,found,结构示意图,not_found,,710WHF720WHF730WHF说明书云钻系列净水机.pdf,../710WHF720WHF730WHF说明书云钻系列净水机.pdf,1,市政自来水— 不锈钢过滤网组件— 颗粒活性炭＋石英砂（自动反冲）— 净化水 出水 市政进水 阀体 不锈钢过滤网組件 —中心管 — 颗粒活性炭 一石英砂 布水器 3 产品介绍 三、主要成分或部件 型号 丙烯腈-丁二烯 -苯乙烯共聚物 （ABS）进出水 控制阀 710WHF 1套 F9OWATER 720WHF 1套 730WHF 1套 不锈钢过 滤网组件 聚乙烯（PE） 孔径：40目 内衬玻璃钢桶 1套 1套 1套 直径：229mm 高度：356mm 1只 直径：203mm 高度：483mm 1只 直径：203mm,
720WHF,710WHF720WHF730WHF说明书云钻系列净水机,复合/中央净水,云钻系列,"市政自来水—
不锈钢过滤网组件—
颗粒活性炭＋石英砂（自动反冲）—
净化水
出水
市政进水
阀体
不锈钢过滤网組件
—中心管
颗粒活性炭
一石英砂
布水器
产品介绍
主要成分或部件
型号
丙烯腈-丁二烯
苯乙烯共聚物
（ABS）进出水
控制阀
710WHF
1套
720WHF
730WHF
不锈钢过
滤网组件
聚乙烯（PE）
孔径：40目
内衬玻璃钢桶
直径：229mm
高度：356mm",未在可识别正文中找到明确开箱配件或装箱清单,found,结构示意图,not_found,,710WHF720WHF730WHF说明书云钻系列净水机.pdf,../710WHF720WHF730WHF说明书云钻系列净水机.pdf,1,市政自来水— 不锈钢过滤网组件— 颗粒活性炭＋石英砂（自动反冲）— 净化水 出水 市政进水 阀体 不锈钢过滤网組件 —中心管 — 颗粒活性炭 一石英砂 布水器 3 产品介绍 三、主要成分或部件 型号 丙烯腈-丁二烯 -苯乙烯共聚物 （ABS）进出水 控制阀 710WHF 1套 F9OWATER 720WHF 1套 730WHF 1套 不锈钢过 滤网组件 聚乙烯（PE） 孔径：40目 内衬玻璃钢桶 1套 1套 1套 直径：229mm 高度：356mm 1只 直径：203mm 高度：483mm 1只 直径：203mm,
730WHF,710WHF720WHF730WHF说明书云钻系列净水机,复合/中央净水,云钻系列,"市政自来水—
不锈钢过滤网组件—
颗粒活性炭＋石英砂（自动反冲）—
净化水
出水
市政进水
阀体
不锈钢过滤网組件
—中心管
颗粒活性炭
一石英砂
布水器
产品介绍
主要成分或部件
型号
丙烯腈-丁二烯
苯乙烯共聚物
（ABS）进出水
控制阀
710WHF
1套
720WHF
730WHF
不锈钢过
滤网组件
聚乙烯（PE）
孔径：40目
内衬玻璃钢桶
直径：229mm
高度：356mm",未在可识别正文中找到明确开箱配件或装箱清单,found,结构示意图,not_found,,710WHF720WHF730WHF说明书云钻系列净水机.pdf,../710WHF720WHF730WHF说明书云钻系列净水机.pdf,1,市政自来水— 不锈钢过滤网组件— 颗粒活性炭＋石英砂（自动反冲）— 净化水 出水 市政进水 阀体 不锈钢过滤网組件 —中心管 — 颗粒活性炭 一石英砂 布水器 3 产品介绍 三、主要成分或部件 型号 丙烯腈-丁二烯 -苯乙烯共聚物 （ABS）进出水 控制阀 710WHF 1套 F9OWATER 720WHF 1套 730WHF 1套 不锈钢过 滤网组件 聚乙烯（PE） 孔径：40目 内衬玻璃钢桶 1套 1套 1套 直径：229mm 高度：356mm 1只 直径：203mm 高度：483mm 1只 直径：203mm,
800,800 FFDC 清饮智能宝,其他,清饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,800 FFDC 清饮智能宝.pdf,../800 FFDC 清饮智能宝.pdf,1,,
800APRO,800APRO Plus 纯饮特供机型＋,反渗透净水机,纯饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,800APRO Plus 纯饮特供机型＋.pdf,../800APRO Plus 纯饮特供机型＋.pdf,1,,
800CPRO,800CPRO 纯饮滢泉宝,反渗透净水机,纯饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,800CPRO 纯饮滢泉宝.pdf,../800CPRO 纯饮滢泉宝.pdf,1,,
800F1DC,800F1DC Plus 清饮超能宝,其他,清饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,800F1DC Plus 清饮超能宝.pdf,../800F1DC Plus 清饮超能宝.pdf,1,,
800GPRO,800GPRO Plus 纯饮净泉宝+,反渗透净水机,纯饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,800GPRO Plus 纯饮净泉宝+.pdf,../800GPRO Plus 纯饮净泉宝+.pdf,2,,
800GPRO,800GPRO 纯饮净泉宝,反渗透净水机,纯饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,800GPRO 纯饮净泉宝.pdf,../800GPRO 纯饮净泉宝.pdf,2,,
800GPRO-E,800GPRO-E 纯饮净泉宝加强型,反渗透净水机,纯饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,800GPRO-E 纯饮净泉宝加强型.pdf,../800GPRO-E 纯饮净泉宝加强型.pdf,1,,
800HPRO,800HPRO Plus 纯饮清泉宝+,反渗透净水机,纯饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,800HPRO Plus 纯饮清泉宝+.pdf,../800HPRO Plus 纯饮清泉宝+.pdf,1,,
800HPRO-E,800HPRO-E Plus 纯饮甘泉宝+,反渗透净水机,纯饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,800HPRO-E Plus 纯饮甘泉宝+.pdf,../800HPRO-E Plus 纯饮甘泉宝+.pdf,1,,
800SPRO,800SPRO 纯饮慧泉宝,反渗透净水机,纯饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,800SPRO 纯饮慧泉宝.pdf,../800SPRO 纯饮慧泉宝.pdf,1,,
818ECD,818ECD 智柔标准型,其他,智柔,"原水
阳离子交换树脂（自动再生反冲）
软水
产品介绍
市政进水
阀体
树脂罐吸盐阀
盐箱
树脂
安装指导
典型安装图
变压器
去控制器
进水口
进水阀
出水阀
主管道
3阀旁通
排污管
约4cm气隙
约4cm气隙排污管应稳妥固定
自来水
主水管
出水口
出水口变压器
旁通阀
4cm
气隙
地漏
排污管应稳妥固定",未在可识别正文中找到明确开箱配件或装箱清单,found,结构示意图,not_found,,818ECD 智柔标准型.pdf,../818ECD 智柔标准型.pdf,1,原水 阳离子交换树脂（自动再生反冲） 软水 产品介绍 软水 市政进水 阀体 树脂罐吸盐阀 盐箱 树脂 4 安装指导 典型安装图 变压器 去控制器 进水口 进水口 进水阀 出水阀 主管道 3阀旁通 排污管 约4cm气隙 约4cm气隙排污管应稳妥固定 去控制器 水 排污管 自来水 自来水 主水管 软水 接 出水口 出水口变压器 排污管 旁通阀 排污管 约 4cm 气隙 约 4cm 气隙 地漏 地漏 排污管应稳妥固定 图 1 盐箱溢流管 盐箱溢流管 去控制器 去控制器 旁通阀 主管道 出水阀 进水阀 3 阀旁通 进水口,
820,820 VC 安饮功能加强型,复合/中央净水,安饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,820 VC 安饮功能加强型.pdf,../820 VC 安饮功能加强型.pdf,1,,
825ECD,825ECD 智柔增强型,其他,智柔,"原水
阳离子交换树脂（自动再生反冲）
软水
产品介绍
市政进水
阀体
树脂罐吸盐阀
盐箱
树脂
安装指导
典型安装图
变压器
去控制器
进水口
进水阀
出水阀
主管道
3阀旁通
排污管
约4cm气隙
约4cm气隙排污管应稳妥固定
自来水
主水管
出水口
出水口变压器
旁通阀
4cm
气隙
地漏
排污管应稳妥固定",未在可识别正文中找到明确开箱配件或装箱清单,found,结构示意图,not_found,,825ECD 智柔增强型.pdf,../825ECD 智柔增强型.pdf,1,原水 阳离子交换树脂（自动再生反冲） 软水 产品介绍 软水 市政进水 阀体 树脂罐吸盐阀 盐箱 树脂 4 安装指导 典型安装图 变压器 去控制器 进水口 进水口 进水阀 出水阀 主管道 3阀旁通 排污管 约4cm气隙 约4cm气隙排污管应稳妥固定 去控制器 水 排污管 自来水 自来水 主水管 软水 接 出水口 出水口变压器 排污管 旁通阀 排污管 约 4cm 气隙 约 4cm 气隙 地漏 地漏 排污管应稳妥固定 图 1 盐箱溢流管 盐箱溢流管 去控制器 去控制器 旁通阀 主管道 出水阀 进水阀 3 阀旁通 进水口,
830VC,830VC Plus 清饮功能加强型,其他,清饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,830VC Plus 清饮功能加强型.pdf,../830VC Plus 清饮功能加强型.pdf,2,,
830VC,830VC 清饮功能标准型,其他,清饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,830VC 清饮功能标准型.pdf,../830VC 清饮功能标准型.pdf,2,,
